source,text,researcher,year,aggressive,hate
twitter,rt @user quero mais aaaaaa ,leite et al,2020,0,0
twitter,@user @user fala não porra 🤦🏾‍♀️,leite et al,2020,0,0
instagram,Cadeia aos racistas!,vargas et al,2021,0,0
instagram,"Obrigado deputada, continue defendendo nossa classe.",vargas et al,2021,0,0
instagram,Milícias digitais e reais! Fazem um grande estrago à democracia brasileira!,vargas et al,2021,1,0
twitter,"rt @user ""você parece saudável, tá num peso bom""// ""você parece doente, tá magra demais"" ",leite et al,2020,0,0
twitter,"nunca, nunca mesmo eu vou entender o tipo de pessoa que abre mão de amizades por causa de namoro!",leite et al,2020,0,0
twitter,@user por isso nao perco mais tempo desmentindo gringo aqui. nao vou me estressar e dar a cara a tapa enquanto nego ta ganhando 10 pau e fazendo nada ... quando eu ver mudança de postura vou a bater,leite et al,2020,0,0
twitter,to vendo um pinto. motivos: ele não para de piar 1 minuto e eu não tenho saco,leite et al,2020,0,0
instagram,Alexandre Garcia um dos jornalistas mais imparcial desse país. Você e correto não importa o presidente do país mas sim o que ele faz pelo nosso país. Você e um exemplo para esses jornalistas que estão iniciando na profissão de repórter.,vargas et al,2021,0,0
instagram,😈 endiabrado dos dentes pagos com nossos impostos pestilento,vargas et al,2021,1,0
twitter,"Caminhe alegre pela vida!
Plante sementes boas de paz e otimismo, vivendo bem com sua consciência.
Ajude aos outros o mais que puder, de tal forma que sua vida se torne uma alegria constante,
 por beneficiar a… ",leite et al,2020,0,0
twitter,@user durante o governo bolsonaro deixou de ser crime,oliveira et al,2023,0,0
instagram,Só rezo e acredito🙏,vargas et al,2021,0,0
instagram,"Muito merecido, ela é linda demais!👏👏👏👏👏",vargas et al,2021,0,0
instagram,Muito bom!,vargas et al,2021,0,0
twitter,não to acreditando serio que nojo,oliveira et al,2023,0,0
twitter,rt @user eu odeio sentir ódio de alguém pq eu tô por trás da porra da tela de um celular e não posso meter o socão na fuça.,leite et al,2020,0,0
instagram,"Ocupando o mesmo antro que o condenado é péssimo sinal ,quase uma mensagem subliminar.",vargas et al,2021,1,0
instagram,Me representam!,vargas et al,2021,0,0
